epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9742,0.8774,2.2998,1.42795,0.74276,0.10155,0.56354,0.34399,0.94243,3.06226,1.72034,0.00048343,0.00048343,0.00048343
2,175.937,0.94572,1.73695,1.46781,0.7302,0.33264,0.49551,0.23847,1.2867,3.87897,2.15128,0.000788791,0.000788791,0.000788791
3,260.526,0.98352,1.69416,1.47529,0.64103,0.72961,0.70493,0.39028,1.19888,2.35115,2.11157,0.000896113,0.000896113,0.000896113
4,344.081,0.91438,1.52214,1.43974,0.60455,0.74868,0.76937,0.46236,1.1155,2.23317,1.93079,0.000676802,0.000676802,0.000676802
5,431.403,0.8978,1.44366,1.40303,0.78265,0.80664,0.83568,0.60593,0.95434,1.72491,1.63913,0.000346736,0.000346736,0.000346736
