epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.255,0.8774,2.2998,1.42795,0.74276,0.10155,0.56354,0.34399,0.94243,3.06226,1.72034,0.00048343,0.00048343,0.00048343
2,193.102,0.97041,1.74476,1.4892,0.29154,0.45882,0.27876,0.09909,1.78416,4.36486,2.75411,0.000964056,0.000964056,0.000964056
3,278.252,1.07296,1.76816,1.533,0.32844,0.49139,0.32487,0.1273,1.97229,3.55377,3.90267,0.00142488,0.00142488,0.00142488
4,376.605,1.09278,1.68347,1.58385,0.30079,0.11785,0.07526,0.01631,3.12226,4.48224,4.44093,0.00156798,0.00156798,0.00156798
